playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
14374,Tyler Glasnow,LAD,SP,SP,32,684.3,127.5,14,,23.0,-9.0,0,25.0,-11.0,0.0,-3.0,Providence Grays
27768,Eury Pérez,MIA,SP,SP,23,683.0,126.3,14,,16.0,-2.0,0,18.0,-4.0,0.0,-6.0,Seiya Prayer For My Team
17920,Cody Ponce,TOR,SP,SP,32,681.9,125.2,14,,,,,,,,,FA
10233,Aroldis Chapman,BOS,RP,RP,38,513.0,128.3,14,,7.0,7.0,2,11.0,3.0,0.0,-11.0,Knowznothin
19569,David Bednar,NYY,RP,RP,31,518.7,132.8,14,,8.0,6.0,1,11.0,3.0,0.0,-10.0,Bloom's Onions
20373,Andrés Muñoz,SEA,RP,RP,27,511.7,127.3,14,,11.0,3.0,1,14.0,0.0,0.0,-9.0,Seiya Prayer For My Team
15816,Devin Williams,NYM,RP,RP,31,516.0,130.7,14,,,,,,,,,FA
15986,Willy Adames,SFG,SS,SS,30,675.0,114.0,13,,9.0,4.0,1,12.0,1.0,0.0,-9.0,Providence Grays
12533,Marcus Semien,NYM,2B/SS,2B,35,651.4,115.1,13,,,,,,,,,FA
24064,Ezequiel Tovar,COL,SS,SS,24,684.1,123.1,13,,,,,,,,,FA
33189,Nolan Schanuel,LAA,1B,1B,24,691.7,121.7,13,,,,,,,,,FA
7304,Salvador Perez,KCR,C,C,36,653.4,117.6,13,,,,,,,,,FA
12304,Chris Bassitt,BAL,SP,SP,37,676.0,119.4,13,,,,,,,,,FA
20253,Griffin Jax,TBR,RP,RP,31,500.0,118.0,13,,4.0,9.0,2,8.0,5.0,1.0,-11.0,Iron 
25327,Abner Uribe,MIL,RP,RP,26,499.8,117.8,13,,4.0,9.0,2,8.0,5.0,1.1,-11.0,The Northsiders
26288,Adley Rutschman,BOS,C,C,28,640.3,106.4,12,,14.0,-2.0,0,16.0,-4.0,0.0,-5.0,Peel A Section
24816,Andy Pages,LAD,OF,OF,25,576.5,104.7,12,,9.0,3.0,1,12.0,0.0,0.0,-8.0,Iron 
31370,Jakob Marsee,MIA,OF,OF,25,583.8,112.0,12,,2.0,10.0,2,6.0,6.0,3.9,-11.0,Providence Grays
29995,Daylen Lile,WSN,OF,OF,23,577.2,105.4,12,,6.0,6.0,1,9.0,3.0,1.2,-9.0,Knowznothin
11477,Christian Yelich,MIL,OF,OF,34,579.8,108.0,12,,26.0,-14.0,0,28.0,-16.0,0.0,1.0,Rock the Casasbah
14212,Josh Hader,HOU,RP,RP,32,484.0,105.3,12,,13.0,-1.0,0,15.0,-3.0,0.0,-6.0,Rock the Casasbah
